DEBUG [nes] Loaded rom:"nestest.nes"
INFO [nes::cpu] C83A  F0 09     BEQ A:04 X:00 Y:00 P:34 SP:FB
INFO [nes::cpu] C83C  30 07     BMI A:04 X:00 Y:00 P:34 SP:FB
INFO [nes::cpu] C83E  70 05     BVS A:04 X:00 Y:00 P:34 SP:FB
INFO [nes::cpu] C840  B0 03     BCS A:04 X:00 Y:00 P:34 SP:FB
INFO [nes::cpu] C842  4C 49     JMP A:04 X:00 Y:00 P:34 SP:FB
INFO [nes::cpu] C849  EA F8     NOP A:04 X:00 Y:00 P:34 SP:FB
INFO [nes::cpu] C84A  F8 A9     SED A:04 X:00 Y:00 P:34 SP:FB
INFO [nes::cpu] C84B  A9 FF     LDA A:04 X:00 Y:00 P:3C SP:FB
INFO [nes::cpu] C84D  85 01     STA A:FF X:00 Y:00 P:BC SP:FB
INFO [nes::cpu] C84F  24 01     BIT A:FF X:00 Y:00 P:BC SP:FB
INFO [nes::cpu] C851  18 A9     CLC A:FF X:00 Y:00 P:FC SP:FB
INFO [nes::cpu] C852  A9 00     LDA A:FF X:00 Y:00 P:FC SP:FB
INFO [nes::cpu] C854  48 A9     PHA A:00 X:00 Y:00 P:7E SP:FB
INFO [nes::cpu] C855  A9 FF     LDA A:00 X:00 Y:00 P:7E SP:FA
INFO [nes::cpu] C857  68 D0     PLA A:FF X:00 Y:00 P:FC SP:FA
INFO [nes::cpu] C858  D0 09     BNE A:00 X:00 Y:00 P:7E SP:FB
INFO [nes::cpu] C85A  30 07     BMI A:00 X:00 Y:00 P:7E SP:FB
INFO [nes::cpu] C85C  50 05     BVC A:00 X:00 Y:00 P:7E SP:FB
INFO [nes::cpu] C85E  B0 03     BCS A:00 X:00 Y:00 P:7E SP:FB
INFO [nes::cpu] C860  4C 67     JMP A:00 X:00 Y:00 P:7E SP:FB
INFO [nes::cpu] C867  EA A9     NOP A:00 X:00 Y:00 P:7E SP:FB
INFO [nes::cpu] C868  A9 00     LDA A:00 X:00 Y:00 P:7E SP:FB
INFO [nes::cpu] C86A  85 01     STA A:00 X:00 Y:00 P:7E SP:FB
INFO [nes::cpu] C86C  24 01     BIT A:00 X:00 Y:00 P:7E SP:FB
INFO [nes::cpu] C86E  38 A9     SEC A:00 X:00 Y:00 P:3E SP:FB
INFO [nes::cpu] C86F  A9 FF     LDA A:00 X:00 Y:00 P:3F SP:FB
INFO [nes::cpu] C871  48 A9     PHA A:FF X:00 Y:00 P:BD SP:FB
INFO [nes::cpu] C872  A9 00     LDA A:FF X:00 Y:00 P:BD SP:FA
INFO [nes::cpu] C874  68 F0     PLA A:00 X:00 Y:00 P:3F SP:FA
INFO [nes::cpu] C875  F0 09     BEQ A:FF X:00 Y:00 P:BD SP:FB
INFO [nes::cpu] C877  10 07     BPL A:FF X:00 Y:00 P:BD SP:FB
INFO [nes::cpu] C879  70 05     BVS A:FF X:00 Y:00 P:BD SP:FB
INFO [nes::cpu] C87B  90 03     BCC A:FF X:00 Y:00 P:BD SP:FB
INFO [nes::cpu] C87D  4C 84     JMP A:FF X:00 Y:00 P:BD SP:FB
INFO [nes::cpu] C884  60 EA     RTS A:FF X:00 Y:00 P:BD SP:FB
INFO [nes::cpu] C603  20 85     JSR A:FF X:00 Y:00 P:BD SP:FD
INFO [nes::cpu] C885  EA 18     NOP A:FF X:00 Y:00 P:BD SP:FB
INFO [nes::cpu] C886  18 A9     CLC A:FF X:00 Y:00 P:BD SP:FB
INFO [nes::cpu] C887  A9 FF     LDA A:FF X:00 Y:00 P:BC SP:FB
INFO [nes::cpu] C889  85 01     STA A:FF X:00 Y:00 P:BC SP:FB
INFO [nes::cpu] C88B  24 01     BIT A:FF X:00 Y:00 P:BC SP:FB
INFO [nes::cpu] C88D  A9 55     LDA A:FF X:00 Y:00 P:FC SP:FB
INFO [nes::cpu] C88F  09 AA     ORA A:55 X:00 Y:00 P:7C SP:FB
INFO [nes::cpu] C891  B0 0B     BCS A:FF X:00 Y:00 P:FC SP:FB
INFO [nes::cpu] C893  10 09     BPL A:FF X:00 Y:00 P:FC SP:FB
INFO [nes::cpu] C895  C9 FF     CMP A:FF X:00 Y:00 P:FC SP:FB
INFO [nes::cpu] C897  D0 05     BNE A:FF X:00 Y:00 P:7F SP:FB
